"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.401442510E0,-1.379999965E-1,-2.989999950E-1,-4.600000083E-1,5.657252016E-1
1.406388681E0,-1.379999965E-1,-2.989999950E-1,-4.600000083E-1,5.657252016E-1
1.411337705E0,-1.800000072E-1,-3.350000083E-1,-4.939999878E-1,6.234268170E-1
1.416285900E0,-1.800000072E-1,-3.350000083E-1,-4.939999878E-1,6.234268170E-1
1.421233327E0,-9.300000221E-2,-3.199999928E-1,-4.639999866E-1,5.712661231E-1
1.426180980E0,-9.300000221E-2,-3.199999928E-1,-4.639999866E-1,5.712661231E-1
1.431130984E0,-7.100000232E-2,-2.689999938E-1,-4.410000145E-1,5.214240211E-1
1.436080295E0,-7.100000232E-2,-2.689999938E-1,-4.410000145E-1,5.214240211E-1
1.441033161E0,-3.799999878E-2,-2.479999959E-1,-4.779999852E-1,5.398444070E-1
1.445984986E0,-3.799999878E-2,-2.479999959E-1,-4.779999852E-1,5.398444070E-1
1.450931084E0,-2.300000004E-2,-3.019999862E-1,-5.410000086E-1,6.200112910E-1
1.455878849E0,-2.300000004E-2,-3.019999862E-1,-5.410000086E-1,6.200112910E-1
1.460825957E0,-2.300000004E-2,-3.019999862E-1,-5.410000086E-1,6.200112910E-1
1.465773248E0,-2.300000004E-2,-3.019999862E-1,-5.410000086E-1,6.200112910E-1
1.470721549E0,1.000000047E-3,-2.199999988E-1,-6.570000052E-1,6.928564111E-1
1.475669554E0,1.000000047E-3,-2.199999988E-1,-6.570000052E-1,6.928564111E-1
1.480617209E0,8.999999613E-3,-1.870000064E-1,-6.169999838E-1,6.447782428E-1
1.485564988E0,8.999999613E-3,-1.870000064E-1,-6.169999838E-1,6.447782428E-1
1.490509376E0,5.099999905E-2,-1.239999980E-1,-6.790000200E-1,6.921112819E-1
1.495454757E0,5.099999905E-2,-1.239999980E-1,-6.790000200E-1,6.921112819E-1
1.500404878E0,1.260000020E-1,-8.900000155E-2,-6.359999776E-1,6.544409616E-1
1.505353607E0,1.260000020E-1,-8.900000155E-2,-6.359999776E-1,6.544409616E-1
