"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.976449700E-1,-1.049999967E-1,2.220000029E-1,-6.060000062E-1,6.538692592E-1
9.025913250E-1,-1.049999967E-1,2.220000029E-1,-6.060000062E-1,6.538692592E-1
9.075396930E-1,-1.400000043E-2,2.039999962E-1,-6.169999838E-1,6.500007527E-1
9.124875060E-1,-1.400000043E-2,2.039999962E-1,-6.169999838E-1,6.500007527E-1
9.174326690E-1,4.399999976E-2,1.829999983E-1,-6.299999952E-1,6.575142534E-1
9.223785980E-1,4.399999976E-2,1.829999983E-1,-6.299999952E-1,6.575142534E-1
9.273257360E-1,3.599999845E-2,1.560000032E-1,-6.290000081E-1,6.490554761E-1
9.322725210E-1,3.599999845E-2,1.560000032E-1,-6.290000081E-1,6.490554761E-1
9.372200470E-1,8.999999613E-3,1.539999992E-1,-6.019999981E-1,6.214507200E-1
9.421673280E-1,8.999999613E-3,1.539999992E-1,-6.019999981E-1,6.214507200E-1
9.471080620E-1,6.000000052E-3,1.669999957E-1,-5.329999924E-1,5.585821251E-1
9.520507150E-1,6.000000052E-3,1.669999957E-1,-5.329999924E-1,5.585821251E-1
9.570005460E-1,-4.100000113E-2,1.580000073E-1,-5.019999743E-1,5.278721214E-1
9.619482650E-1,-4.100000113E-2,1.580000073E-1,-5.019999743E-1,5.278721214E-1
9.668945120E-1,-7.999999821E-2,1.659999937E-1,-5.289999843E-1,5.601758483E-1
9.718411910E-1,-7.999999821E-2,1.659999937E-1,-5.289999843E-1,5.601758483E-1
9.767877950E-1,-1.140000001E-1,1.669999957E-1,-5.460000038E-1,5.822379262E-1
9.817344220E-1,-1.140000001E-1,1.669999957E-1,-5.460000038E-1,5.822379262E-1
9.866772040E-1,-9.499999881E-2,2.240000069E-1,-5.799999833E-1,6.289681896E-1
9.916211130E-1,-9.499999881E-2,2.240000069E-1,-5.799999833E-1,6.289681896E-1
9.965665560E-1,-8.799999952E-2,1.990000010E-1,-6.090000272E-1,6.467039766E-1
1.001511559E0,-8.799999952E-2,1.990000010E-1,-6.090000272E-1,6.467039766E-1
1.006462236E0,-1.019999981E-1,2.049999982E-1,-5.809999704E-1,6.244917650E-1
1.011411251E0,-1.019999981E-1,2.049999982E-1,-5.809999704E-1,6.244917650E-1
1.016358017E0,-9.899999946E-2,1.650000066E-1,-5.479999781E-1,5.808011519E-1
1.021305460E0,-9.899999946E-2,1.650000066E-1,-5.479999781E-1,5.808011519E-1
1.026250265E0,-6.300000101E-2,1.199999973E-1,-5.669999719E-1,5.829733850E-1
1.031195844E0,-6.300000101E-2,1.199999973E-1,-5.669999719E-1,5.829733850E-1
1.036141016E0,-9.799999744E-2,1.220000014E-1,-5.939999819E-1,6.142670252E-1
1.041086339E0,-9.799999744E-2,1.220000014E-1,-5.939999819E-1,6.142670252E-1
1.046032995E0,-7.999999821E-2,1.120000035E-1,-6.000000238E-1,6.155842989E-1
1.050979260E0,-7.999999821E-2,1.120000035E-1,-6.000000238E-1,6.155842989E-1
1.055928784E0,-9.300000221E-2,1.319999993E-1,-5.910000205E-1,6.126614273E-1
1.060877347E0,-9.300000221E-2,1.319999993E-1,-5.910000205E-1,6.126614273E-1
1.065825116E0,-7.500000298E-2,1.379999965E-1,-5.540000200E-1,5.758341963E-1
1.070773119E0,-7.500000298E-2,1.379999965E-1,-5.540000200E-1,5.758341963E-1
1.075719602E0,-4.699999839E-2,1.439999938E-1,-5.519999862E-1,5.724063092E-1
1.080666551E0,-4.699999839E-2,1.439999938E-1,-5.519999862E-1,5.724063092E-1
1.085615676E0,-7.100000232E-2,1.599999964E-1,-5.580000281E-1,5.848119617E-1
1.090564165E0,-7.100000232E-2,1.599999964E-1,-5.580000281E-1,5.848119617E-1
1.095510571E0,-9.899999946E-2,1.439999938E-1,-5.619999766E-1,5.885413935E-1
1.100457604E0,-9.899999946E-2,1.439999938E-1,-5.619999766E-1,5.885413935E-1
1.105408833E0,-1.019999981E-1,1.679999977E-1,-5.559999943E-1,5.897151791E-1
1.110358834E0,-1.019999981E-1,1.679999977E-1,-5.559999943E-1,5.897151791E-1
1.115304148E0,-1.580000073E-1,1.780000031E-1,-5.690000057E-1,6.167730619E-1
1.120250835E0,-1.580000073E-1,1.780000031E-1,-5.690000057E-1,6.167730619E-1
1.125197977E0,-1.410000026E-1,1.940000057E-1,-5.799999833E-1,6.276280615E-1
1.130144986E0,-1.410000026E-1,1.940000057E-1,-5.799999833E-1,6.276280615E-1
1.135091381E0,-1.319999993E-1,2.140000015E-1,-6.179999709E-1,6.671911005E-1
1.140037970E0,-1.319999993E-1,2.140000015E-1,-6.179999709E-1,6.671911005E-1
1.144989230E0,-9.899999946E-2,2.060000002E-1,-5.839999914E-1,6.271307599E-1
