"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.158740390E0,4.199999943E-2,7.599999756E-2,-5.299999714E-1,5.370660753E-1
1.163685225E0,5.999999866E-2,5.700000003E-2,-5.109999776E-1,5.176581661E-1
1.168630854E0,5.999999866E-2,5.700000003E-2,-5.109999776E-1,5.176581661E-1
1.173580360E0,7.400000095E-2,1.150000021E-1,-4.850000143E-1,5.039107208E-1
1.178528717E0,7.400000095E-2,1.150000021E-1,-4.850000143E-1,5.039107208E-1
1.183475215E0,7.100000232E-2,1.040000021E-1,-5.529999733E-1,5.671560378E-1
1.188422258E0,7.100000232E-2,1.040000021E-1,-5.529999733E-1,5.671560378E-1
1.193368761E0,6.100000069E-2,8.600000292E-2,-5.260000229E-1,5.364634421E-1
1.198315450E0,6.100000069E-2,8.600000292E-2,-5.260000229E-1,5.364634421E-1
1.203262592E0,6.800000370E-2,6.100000069E-2,-5.249999762E-1,5.328883331E-1
1.208209603E0,6.800000370E-2,6.100000069E-2,-5.249999762E-1,5.328883331E-1
1.213156376E0,5.200000107E-2,7.000000216E-3,-5.550000072E-1,5.574746703E-1
1.218103219E0,5.200000107E-2,7.000000216E-3,-5.550000072E-1,5.574746703E-1
1.223049468E0,1.049999967E-1,1.899999939E-2,-5.379999876E-1,5.484797042E-1
1.227995869E0,1.049999967E-1,1.899999939E-2,-5.379999876E-1,5.484797042E-1
1.232942519E0,8.399999887E-2,2.199999988E-2,-5.559999943E-1,5.627397209E-1
1.237889096E0,8.399999887E-2,2.199999988E-2,-5.559999943E-1,5.627397209E-1
1.242834823E0,5.400000140E-2,-2.099999972E-2,-5.389999747E-1,5.421051309E-1
1.247780796E0,5.400000140E-2,-2.099999972E-2,-5.389999747E-1,5.421051309E-1
1.252730945E0,5.400000140E-2,-4.999999888E-3,-5.889999866E-1,5.914913224E-1
1.257679872E0,5.400000140E-2,-4.999999888E-3,-5.889999866E-1,5.914913224E-1
1.262625147E0,5.600000173E-2,7.000000216E-3,-6.079999804E-1,6.106136065E-1
1.267571522E0,5.600000173E-2,7.000000216E-3,-6.079999804E-1,6.106136065E-1
1.272519034E0,9.000000358E-2,3.299999982E-2,-5.609999895E-1,5.691309066E-1
